오분류 패턴: Disengaged(Sleepy) → Disengaged(Calm)
케이스 수: 5541개
비율: 4.02%
==================================================

   1. 02-04-78--1-20-23090800000057-04-101
   2. 02-04-78--1-20-23090800000057-04-102
   3. 02-04-78--1-20-23090800000057-04-103
   4. 02-04-78--1-20-23090800000057-04-104
   5. 02-04-78--1-20-23090800000057-04-105
   6. 02-04-78--1-20-23090800000057-04-106
   7. 02-04-78--1-20-23090800000057-04-107
   8. 02-04-78--1-20-23090800000057-04-108
   9. 02-04-78--1-20-23090800000057-04-109
  10. 02-04-78--1-20-23090800000057-04-110
  11. 02-04-78--1-20-23090800000057-04-111
  12. 02-04-78--1-20-23090800000057-04-112
  13. 02-04-78--1-20-23090800000057-04-113
  14. 02-04-78--1-20-23090800000057-04-114
  15. 02-04-78--1-20-23090800000057-04-115
  16. 02-04-78--1-20-23090800000057-04-116
  17. 02-04-78--1-20-23090800000057-04-117
  18. 02-04-78--1-20-23090800000057-04-118
  19. 02-04-78--1-20-23090800000057-04-119
  20. 02-04-78--1-20-23090800000057-04-120
  21. 02-04-78--1-20-23090800000057-04-121
  22. 02-04-78--1-20-23090800000057-04-122
  23. 02-04-78--1-20-23090800000057-04-123
  24. 02-04-78--1-20-23090800000057-04-124
  25. 02-04-78--1-20-23090800000057-04-125
  26. 02-04-78--1-20-23090800000057-04-126
  27. 02-04-78--1-20-23090800000057-04-127
  28. 02-04-78--1-20-23090800000057-04-128
  29. 02-04-78--1-20-23090800000057-04-129
  30. 02-04-78--1-20-23090800000057-04-13
  31. 02-04-78--1-20-23090800000057-04-130
  32. 02-04-78--1-20-23090800000057-04-131
  33. 02-04-78--1-20-23090800000057-04-132
  34. 02-04-78--1-20-23090800000057-04-133
  35. 02-04-78--1-20-23090800000057-04-134
  36. 02-04-78--1-20-23090800000057-04-135
  37. 02-04-78--1-20-23090800000057-04-14
  38. 02-04-78--1-20-23090800000057-04-15
  39. 02-04-78--1-20-23090800000057-04-16
  40. 02-04-78--1-20-23090800000057-04-162
  41. 02-04-78--1-20-23090800000057-04-17
  42. 02-04-78--1-20-23090800000057-04-18
  43. 02-04-78--1-20-23090800000057-04-181
  44. 02-04-78--1-20-23090800000057-04-182
  45. 02-04-78--1-20-23090800000057-04-183
  46. 02-04-78--1-20-23090800000057-04-184
  47. 02-04-78--1-20-23090800000057-04-185
  48. 02-04-78--1-20-23090800000057-04-19
  49. 02-04-78--1-20-23090800000057-04-193
  50. 02-04-78--1-20-23090800000057-04-194
  51. 02-04-78--1-20-23090800000057-04-195
  52. 02-04-78--1-20-23090800000057-04-196
  53. 02-04-78--1-20-23090800000057-04-197
  54. 02-04-78--1-20-23090800000057-04-20
  55. 02-04-78--1-20-23090800000057-04-203
  56. 02-04-78--1-20-23090800000057-04-210
  57. 02-04-78--1-20-23090800000057-04-22
  58. 02-04-78--1-20-23090800000057-04-23
  59. 02-04-78--1-20-23090800000057-04-30
  60. 02-04-78--1-20-23090800000057-04-31
  61. 02-04-78--1-20-23090800000057-04-33
  62. 02-04-78--1-20-23090800000057-04-35
  63. 02-04-78--1-20-23090800000057-04-37
  64. 02-04-78--1-20-23090800000057-04-38
