오분류 패턴: Disengaged(Calm) → Disengaged(Sleepy)
케이스 수: 3483개
비율: 2.53%
==================================================

   1. 02-04-78--1-20-23090800000057-03-106
   2. 02-04-78--1-20-23090800000057-03-131
   3. 02-04-78--1-20-23090800000057-03-170
   4. 02-04-78--1-20-23090800000057-03-176
   5. 02-04-78--1-20-23090800000057-03-177
   6. 02-04-78--1-20-23090800000057-03-179
   7. 02-04-78--1-20-23090800000057-03-180
   8. 02-04-78--1-20-23090800000057-03-181
   9. 02-04-78--1-20-23090800000057-03-194
  10. 02-04-78--1-20-23090800000057-03-195
  11. 02-04-78--1-20-23090800000057-03-196
  12. 02-04-78--1-20-23090800000057-03-197
  13. 02-04-78--1-20-23090800000057-03-198
  14. 02-04-78--1-20-23090800000057-03-199
  15. 02-04-78--1-20-23090800000057-03-206
  16. 02-04-78--1-20-23090800000057-03-207
  17. 02-04-78--1-20-23090800000057-03-208
  18. 02-04-78--1-20-23090800000057-03-214
  19. 02-04-78--1-20-23090800000057-03-215
  20. 02-04-78--1-20-23090800000057-03-217
  21. 02-04-78--1-20-23090800000057-03-22
  22. 02-04-78--1-20-23090800000057-03-23
  23. 02-04-78--1-20-23090800000057-03-24
  24. 02-04-78--1-20-23090800000057-03-26
  25. 02-04-78--1-20-23090800000057-03-27
  26. 02-04-78--1-20-23090800000057-03-28
  27. 02-04-78--1-20-23090800000057-03-30
  28. 02-04-78--1-20-23090800000057-03-31
  29. 02-04-78--1-20-23090800000057-03-32
  30. 02-04-78--1-20-23090800000057-03-34
  31. 02-04-78--1-20-23090800000057-03-35
  32. 02-04-78--1-20-23090800000057-03-36
  33. 02-04-78--1-20-23090800000057-03-38
  34. 02-04-78--1-20-23090800000057-03-44
  35. 02-04-78--1-20-23090800000057-03-45
  36. 02-04-78--1-20-23090800000057-03-48
  37. 02-04-78--1-20-23090800000057-03-5
  38. 02-04-78--1-20-23090800000057-03-58
  39. 02-04-78--1-20-23090800000057-03-59
  40. 02-04-78--1-20-23090800000057-03-60
  41. 02-04-78--1-20-23090800000057-03-61
  42. 02-04-78--1-20-23090800000057-03-62
  43. 02-04-78--1-20-23090800000057-03-63
  44. 02-04-78--1-20-23090800000057-03-64
  45. 02-04-78--1-20-23090800000057-03-65
  46. 02-04-78--1-20-23090800000057-03-70
  47. 02-04-78--1-20-23090800000057-03-71
  48. 02-04-78--1-20-23090800000057-03-72
  49. 02-04-78--1-20-23090800000057-03-73
  50. 02-04-78--1-20-23090800000057-03-76
  51. 02-04-78--1-20-23090800000057-03-77
  52. 02-04-78--1-21-23101100000047-03-100
  53. 02-04-78--1-21-23101100000047-03-104
  54. 02-04-78--1-21-23101100000047-03-106
  55. 02-04-78--1-21-23101100000047-03-108
  56. 02-04-78--1-21-23101100000047-03-11
  57. 02-04-78--1-21-23101100000047-03-115
  58. 02-04-78--1-21-23101100000047-03-118
  59. 02-04-78--1-21-23101100000047-03-122
  60. 02-04-78--1-21-23101100000047-03-125
  61. 02-04-78--1-21-23101100000047-03-135
  62. 02-04-78--1-21-23101100000047-03-145
  63. 02-04-78--1-21-23101100000047-03-148
  64. 02-04-78--1-21-23101100000047-03-16
