오분류 패턴: Engaged(Calm) → Engaged(Interest)
케이스 수: 3167개
비율: 2.30%
==================================================

   1. 02-04-78--1-21-23101100000047-02-47
   2. 02-04-78--1-21-23101100000047-02-6
   3. 02-04-78--1-23-23092200000046-02-117
   4. 02-04-78--1-23-23092200000046-02-150
   5. 02-04-78--1-23-23092200000046-02-151
   6. 02-04-78--1-23-23092200000046-02-165
   7. 02-04-78--1-23-23092200000046-02-167
   8. 02-04-78--1-23-23092200000046-02-172
   9. 02-04-78--1-23-23092200000046-02-195
  10. 02-04-78--1-23-23092200000046-02-199
  11. 02-04-78--1-23-23092200000046-02-201
  12. 02-04-78--1-23-23092200000046-02-203
  13. 02-04-78--1-23-23092200000046-02-204
  14. 02-04-78--1-23-23092200000046-02-211
  15. 02-04-78--1-23-23092200000046-02-59
  16. 02-04-78--1-23-23100600000062-02-150
  17. 02-04-78--1-23-23100600000062-02-164
  18. 02-04-78--1-23-23100600000062-02-181
  19. 02-04-78--1-23-23100600000062-02-182
  20. 02-04-78--1-23-23101100000033-02-116
  21. 02-04-78--1-23-23101100000033-02-117
  22. 02-04-78--1-23-23101100000033-02-162
  23. 02-04-78--1-23-23101100000033-02-193
  24. 02-04-78--1-23-23101100000033-02-206
  25. 02-04-78--1-23-23101100000033-02-59
  26. 02-04-78--1-23-23101300000021-02-128
  27. 02-04-78--1-23-23101300000021-02-146
  28. 02-04-78--1-23-23101300000021-02-31
  29. 02-04-78--1-23-23101300000021-02-51
  30. 02-04-78--1-24-23082700000217-02-105
  31. 02-04-78--1-24-23082700000217-02-106
  32. 02-04-78--1-24-23082700000217-02-115
  33. 02-04-78--1-24-23082700000217-02-116
  34. 02-04-78--1-24-23082700000217-02-117
  35. 02-04-78--1-24-23082700000217-02-120
  36. 02-04-78--1-24-23082700000217-02-121
  37. 02-04-78--1-24-23082700000217-02-122
  38. 02-04-78--1-24-23082700000217-02-123
  39. 02-04-78--1-24-23082700000217-02-124
  40. 02-04-78--1-24-23082700000217-02-125
  41. 02-04-78--1-24-23082700000217-02-126
  42. 02-04-78--1-24-23082700000217-02-127
  43. 02-04-78--1-24-23082700000217-02-128
  44. 02-04-78--1-24-23082700000217-02-130
  45. 02-04-78--1-24-23082700000217-02-133
  46. 02-04-78--1-24-23082700000217-02-135
  47. 02-04-78--1-24-23082700000217-02-138
  48. 02-04-78--1-24-23082700000217-02-139
  49. 02-04-78--1-24-23082700000217-02-14
  50. 02-04-78--1-24-23082700000217-02-147
  51. 02-04-78--1-24-23082700000217-02-152
  52. 02-04-78--1-24-23082700000217-02-153
  53. 02-04-78--1-24-23082700000217-02-154
  54. 02-04-78--1-24-23082700000217-02-156
  55. 02-04-78--1-24-23082700000217-02-157
  56. 02-04-78--1-24-23082700000217-02-158
  57. 02-04-78--1-24-23082700000217-02-161
  58. 02-04-78--1-24-23082700000217-02-165
  59. 02-04-78--1-24-23082700000217-02-183
  60. 02-04-78--1-24-23082700000217-02-195
  61. 02-04-78--1-24-23082700000217-02-196
  62. 02-04-78--1-24-23082700000217-02-197
  63. 02-04-78--1-24-23082700000217-02-198
  64. 02-04-78--1-24-23082700000217-02-200
