오분류 패턴: Engaged(Interest) → Engaged(Calm)
케이스 수: 2741개
비율: 1.99%
==================================================

   1. 02-04-78--1-20-23090800000057-01-0
   2. 02-04-78--1-20-23090800000057-01-1
   3. 02-04-78--1-20-23090800000057-01-10
   4. 02-04-78--1-20-23090800000057-01-100
   5. 02-04-78--1-20-23090800000057-01-101
   6. 02-04-78--1-20-23090800000057-01-102
   7. 02-04-78--1-20-23090800000057-01-108
   8. 02-04-78--1-20-23090800000057-01-11
   9. 02-04-78--1-20-23090800000057-01-110
  10. 02-04-78--1-20-23090800000057-01-111
  11. 02-04-78--1-20-23090800000057-01-112
  12. 02-04-78--1-20-23090800000057-01-116
  13. 02-04-78--1-20-23090800000057-01-117
  14. 02-04-78--1-20-23090800000057-01-118
  15. 02-04-78--1-20-23090800000057-01-119
  16. 02-04-78--1-20-23090800000057-01-12
  17. 02-04-78--1-20-23090800000057-01-120
  18. 02-04-78--1-20-23090800000057-01-126
  19. 02-04-78--1-20-23090800000057-01-127
  20. 02-04-78--1-20-23090800000057-01-130
  21. 02-04-78--1-20-23090800000057-01-131
  22. 02-04-78--1-20-23090800000057-01-132
  23. 02-04-78--1-20-23090800000057-01-133
  24. 02-04-78--1-20-23090800000057-01-134
  25. 02-04-78--1-20-23090800000057-01-135
  26. 02-04-78--1-20-23090800000057-01-137
  27. 02-04-78--1-20-23090800000057-01-139
  28. 02-04-78--1-20-23090800000057-01-14
  29. 02-04-78--1-20-23090800000057-01-140
  30. 02-04-78--1-20-23090800000057-01-142
  31. 02-04-78--1-20-23090800000057-01-143
  32. 02-04-78--1-20-23090800000057-01-145
  33. 02-04-78--1-20-23090800000057-01-149
  34. 02-04-78--1-20-23090800000057-01-15
  35. 02-04-78--1-20-23090800000057-01-150
  36. 02-04-78--1-20-23090800000057-01-151
  37. 02-04-78--1-20-23090800000057-01-16
  38. 02-04-78--1-20-23090800000057-01-17
  39. 02-04-78--1-20-23090800000057-01-18
  40. 02-04-78--1-20-23090800000057-01-19
  41. 02-04-78--1-20-23090800000057-01-2
  42. 02-04-78--1-20-23090800000057-01-20
  43. 02-04-78--1-20-23090800000057-01-21
  44. 02-04-78--1-20-23090800000057-01-23
  45. 02-04-78--1-20-23090800000057-01-24
  46. 02-04-78--1-20-23090800000057-01-25
  47. 02-04-78--1-20-23090800000057-01-3
  48. 02-04-78--1-20-23090800000057-01-4
  49. 02-04-78--1-20-23090800000057-01-42
  50. 02-04-78--1-20-23090800000057-01-5
  51. 02-04-78--1-20-23090800000057-01-6
  52. 02-04-78--1-20-23090800000057-01-7
  53. 02-04-78--1-20-23090800000057-01-75
  54. 02-04-78--1-20-23090800000057-01-8
  55. 02-04-78--1-20-23090800000057-01-83
  56. 02-04-78--1-20-23090800000057-01-88
  57. 02-04-78--1-20-23090800000057-01-89
  58. 02-04-78--1-20-23090800000057-01-9
  59. 02-04-78--1-20-23090800000057-01-90
  60. 02-04-78--1-20-23090800000057-01-91
  61. 02-04-78--1-20-23090800000057-01-92
  62. 02-04-78--1-20-23090800000057-01-93
  63. 02-04-78--1-20-23090800000057-01-94
  64. 02-04-78--1-20-23090800000057-01-95
