오분류 패턴: Sleep → Engaged(Calm)
케이스 수: 1890개
비율: 1.37%
==================================================

   1. 02-04-78--1-20-23090800000057-05-137
   2. 02-04-78--1-20-23090800000057-05-173
   3. 02-04-78--1-20-23090800000057-05-191
   4. 02-04-78--1-20-23090800000057-05-192
   5. 02-04-78--1-20-23090800000057-05-193
   6. 02-04-78--1-20-23090800000057-05-194
   7. 02-04-78--1-20-23090800000057-05-195
   8. 02-04-78--1-20-23090800000057-05-196
   9. 02-04-78--1-20-23090800000057-05-197
  10. 02-04-78--1-20-23090800000057-05-198
  11. 02-04-78--1-20-23090800000057-05-3
  12. 02-04-78--1-21-23101100000047-05-0
  13. 02-04-78--1-21-23101100000047-05-1
  14. 02-04-78--1-21-23101100000047-05-100
  15. 02-04-78--1-21-23101100000047-05-103
  16. 02-04-78--1-21-23101100000047-05-109
  17. 02-04-78--1-21-23101100000047-05-11
  18. 02-04-78--1-21-23101100000047-05-110
  19. 02-04-78--1-21-23101100000047-05-111
  20. 02-04-78--1-21-23101100000047-05-112
  21. 02-04-78--1-21-23101100000047-05-113
  22. 02-04-78--1-21-23101100000047-05-114
  23. 02-04-78--1-21-23101100000047-05-118
  24. 02-04-78--1-21-23101100000047-05-119
  25. 02-04-78--1-21-23101100000047-05-120
  26. 02-04-78--1-21-23101100000047-05-121
  27. 02-04-78--1-21-23101100000047-05-122
  28. 02-04-78--1-21-23101100000047-05-123
  29. 02-04-78--1-21-23101100000047-05-124
  30. 02-04-78--1-21-23101100000047-05-129
  31. 02-04-78--1-21-23101100000047-05-130
  32. 02-04-78--1-21-23101100000047-05-131
  33. 02-04-78--1-21-23101100000047-05-132
  34. 02-04-78--1-21-23101100000047-05-138
  35. 02-04-78--1-21-23101100000047-05-139
  36. 02-04-78--1-21-23101100000047-05-141
  37. 02-04-78--1-21-23101100000047-05-142
  38. 02-04-78--1-21-23101100000047-05-143
  39. 02-04-78--1-21-23101100000047-05-144
  40. 02-04-78--1-21-23101100000047-05-147
  41. 02-04-78--1-21-23101100000047-05-148
  42. 02-04-78--1-21-23101100000047-05-151
  43. 02-04-78--1-21-23101100000047-05-152
  44. 02-04-78--1-21-23101100000047-05-153
  45. 02-04-78--1-21-23101100000047-05-161
  46. 02-04-78--1-21-23101100000047-05-162
  47. 02-04-78--1-21-23101100000047-05-163
  48. 02-04-78--1-21-23101100000047-05-164
  49. 02-04-78--1-21-23101100000047-05-165
  50. 02-04-78--1-21-23101100000047-05-166
  51. 02-04-78--1-21-23101100000047-05-167
  52. 02-04-78--1-21-23101100000047-05-168
  53. 02-04-78--1-21-23101100000047-05-169
  54. 02-04-78--1-21-23101100000047-05-17
  55. 02-04-78--1-21-23101100000047-05-170
  56. 02-04-78--1-21-23101100000047-05-171
  57. 02-04-78--1-21-23101100000047-05-189
  58. 02-04-78--1-21-23101100000047-05-190
  59. 02-04-78--1-21-23101100000047-05-37
  60. 02-04-78--1-21-23101100000047-05-38
  61. 02-04-78--1-21-23101100000047-05-39
  62. 02-04-78--1-21-23101100000047-05-40
  63. 02-04-78--1-21-23101100000047-05-41
  64. 02-04-78--1-21-23101100000047-05-56
  65. 02-04-78--1-21-23101100000047-05-59
